,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,cen2bPass,default,1,DATA,1.0,nominal,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_Data.root,MttvsMtcen2bPass,16_Data,Data,,,,,,
313,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,lumi,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPass,16_signalZPrime3000_30,g_{RS} (3 TeV),,,lnN,,,1.018
314,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,btag_unc,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPass,16_signalZPrime3000_30,g_{RS} (3 TeV),,,lnN,,,1.0
315,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassPILEUPup,16_signalZPrime3000_30,g_{RS} (3 TeV),,Up,shapes,1.0,PILEUP,
316,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassPILEUPdown,16_signalZPrime3000_30,g_{RS} (3 TeV),,Down,shapes,1.0,PILEUP,
317,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassPDFup,16_signalZPrime3000_30,g_{RS} (3 TeV),,Up,shapes,1.0,PDF,
318,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassPDFdown,16_signalZPrime3000_30,g_{RS} (3 TeV),,Down,shapes,1.0,PDF,
319,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassJESup,16_signalZPrime3000_30,g_{RS} (3 TeV),,Up,shapes,1.0,JES,
320,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassJESdown,16_signalZPrime3000_30,g_{RS} (3 TeV),,Down,shapes,1.0,JES,
321,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassJERup,16_signalZPrime3000_30,g_{RS} (3 TeV),,Up,shapes,1.0,JER,
322,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassJERdown,16_signalZPrime3000_30,g_{RS} (3 TeV),,Down,shapes,1.0,JER,
323,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassBTAGup,16_signalZPrime3000_30,g_{RS} (3 TeV),,Up,shapes,1.0,BTAG,
324,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPassBTAGdown,16_signalZPrime3000_30,g_{RS} (3 TeV),,Down,shapes,1.0,BTAG,
325,16_signalZPrime3000_30,cen2bPass,default,1,SIGNAL,1.0,nominal,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_30.root,MttvsMtcen2bPass,16_signalZPrime3000_30,g_{RS} (3 TeV),,,,,,
339,16_TTbar,cen2bPass,default,2,BKG,1.0,lumi,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_TTbar.root,MttvsMtcen2bPass,16_TTbar,t#bar{t},,,lnN,,,1.018
